ResearchAssistant,SubjectNumber,SetNumber,SessionNumber,DateandTimeRun,Contingency,Condition,NumberofPecksRequired,ProgramName,TrialNumber,ProgramLoadTime,BirdInBoxTime,ExperimentStartTime,ExperimentEndTime,ApparatusPresent,TimeoutPeriod,RewardTime,ChoiceStimulus,Initial-Link,Terminal-Link,ChoiceStimulusSidePecked,Initial-LinkSidePecked,ChoiceStimulusPecked,ChoiceStimulusReactionTime,Initial-LinkReactionTime,Terminal-LinkPeckLog,TerminalLinkLatency,Terminal-LinkFinalResponse,Terminal-LinkDuration,Inter-TrialInterval(ITI),ChoiceStimulusScreenPeckCount,InitialLinkScreenPeckCount,Terminal-LinkScreenPeckCount,Sub-OptimalLinkChosen
Unlisted,0,0,0,11_01_2015 17:57,1,Experimental Phase,1,SubOptimalChoiceWithCommitment.py,1,17:57,17:57,17:57,N/A,False,60,1,ChoiceC ,InitA InitB ,TermB,CENTRE,LEFT,ChoiceC,[1.0685607665218413],[1.126568254083395],['N/A'],N/A,N/A,5,5,1,1,0,True
Unlisted,0,0,0,11_01_2015 17:57,1,Experimental Phase,1,SubOptimalChoiceWithCommitment.py,2,17:57,17:57,17:57,N/A,False,60,1,ChoiceA ChoiceB ,InitA ,TermB,LEFT,LEFT,ChoiceA,[2.5573988342657685],[1.500935675110668],['N/A'],N/A,N/A,5,5,1,1,0,True
Unlisted,0,0,0,11_01_2015 17:57,1,Experimental Phase,1,SubOptimalChoiceWithCommitment.py,3,17:57,17:57,17:57,N/A,False,60,1,ChoiceC ,InitA InitB ,TermC,CENTRE,RIGHT,ChoiceC,[0.5133869182318449],[0.9078273340128362],['N/A'],N/A,N/A,5,5,1,1,0,False
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:58

