ResearchAssistant,SubjectNumber,SetNumber,SessionNumber,DateandTimeRun,Contingency,Condition,NumberofPecksRequired,ProgramName,TrialNumber,ProgramLoadTime,BirdInBoxTime,ExperimentStartTime,ExperimentEndTime,ApparatusPresent,TimeoutPeriod,RewardTime,ChoiceStimulus,Initial-Link,Terminal-Link,Terminal-LinkColour,ChoiceStimulusSidePecked,Initial-LinkSidePecked,ChoiceStimulusPecked,ChoiceStimulusReactionTime,Initial-LinkReactionTime,Terminal-LinkPeckLog,TerminalLinkLatency,Terminal-LinkFinalResponse,Terminal-LinkDuration,Inter-TrialInterval(ITI),ChoiceStimulusScreenPeckCount,InitialLinkScreenPeckCount,Terminal-LinkScreenPeckCount,Sub-OptimalLinkChosen,BirdAte
Unlisted,0,0,0,13_01_2015 13:28,1,Stim Pairing,1,SubOptimalChoiceWithCommitment.py,1,13:28,13:28,13:28,N/A,False,60,1,N/A,InitA InitB ,TermD,Purple,N/A,RIGHT,N/A,N/A,[0.7165231970138848],['N/A'],N/A,N/A,10,5,N/A,1,0,False,True
Unlisted,0,0,0,13_01_2015 13:28,1,Stim Pairing,1,SubOptimalChoiceWithCommitment.py,2,13:28,13:28,13:28,N/A,False,60,1,N/A,InitA InitB ,TermC,Red,N/A,RIGHT,N/A,N/A,[0.729355582036078],['N/A'],N/A,N/A,10,5,N/A,1,0,False,True
Unlisted,0,0,0,13_01_2015 13:28,1,Stim Pairing,1,SubOptimalChoiceWithCommitment.py,3,13:28,13:28,13:28,N/A,False,60,1,N/A,InitA InitB ,TermB,Orange,N/A,LEFT,N/A,N/A,[1.507156346924603],['N/A'],N/A,N/A,10,5,N/A,1,0,True,True
Unlisted,0,0,0,13_01_2015 13:28,1,Stim Pairing,1,SubOptimalChoiceWithCommitment.py,4,13:28,13:28,13:28,N/A,False,60,1,N/A,InitB ,TermD,Purple,N/A,RIGHT,N/A,N/A,[4.077457706909627],['N/A'],N/A,N/A,10,5,N/A,1,0,False,True
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:29

