ResearchAssistant,SubjectNumber,SetNumber,SessionNumber,DateandTimeRun,Contingency,Condition,NumberofPecksRequired,ProgramName,TrialNumber,ProgramLoadTime,BirdInBoxTime,ExperimentStartTime,ExperimentEndTime,ApparatusPresent,TimeoutPeriod,RewardTime,ChoiceStimulus,Initial-Link,Terminal-Link,Terminal-LinkColour,ChoiceStimulusSidePecked,Initial-LinkSidePecked,ChoiceStimulusPecked,ChoiceStimulusReactionTime,Initial-LinkReactionTime,Terminal-LinkPeckLog,TerminalLinkLatency,Terminal-LinkFinalResponse,Terminal-LinkDuration,Inter-TrialInterval(ITI),ChoiceStimulusScreenPeckCount,InitialLinkScreenPeckCount,Terminal-LinkScreenPeckCount,Sub-OptimalLinkChosen,BirdAte
Unlisted,0,0,0,13_01_2015 13:24,1,Experimental Phase,1,SubOptimalChoiceWithCommitment.py,1,13:24,13:24,13:24,N/A,False,60,1,ChoiceA ChoiceC ,InitA InitB ,TermB,Orange,CENTRE,NO STIM PECKED,ChoiceC,[0.7193918656557798],"[0.5293660908937454, 0.22386928042396903]",['N/A'],N/A,N/A,10,5,1,2,0,True,False
Unlisted,0,0,0,13_01_2015 13:24,1,Experimental Phase,1,SubOptimalChoiceWithCommitment.py,2,13:24,13:24,13:24,N/A,False,60,1,ChoiceC ,InitA InitB ,TermD,Purple,CENTRE,RIGHT,ChoiceC,[1.0514411944895983],[0.665476799942553],['N/A'],N/A,N/A,10,5,1,1,0,False,False
Unlisted,0,0,0,13_01_2015 13:24,1,Experimental Phase,1,SubOptimalChoiceWithCommitment.py,3,13:24,13:24,13:24,N/A,False,60,1,ChoiceC ,InitA InitB ,TermA,Green,CENTRE,NO STIM PECKED,ChoiceC,[3.4958648406900465],"[0.5853503774851561, 0.2559533454477787]",[9.42916664807126],9.42916664807126,9.42916664807126,10,5,1,2,1,True,False
Unlisted,0,0,0,13_01_2015 13:24,1,Experimental Phase,1,SubOptimalChoiceWithCommitment.py,4,13:24,13:24,13:24,N/A,False,60,1,ChoiceA ,InitA ,TermA,Green,LEFT,LEFT,ChoiceA,[1.0032182219438255],[0.32254572259262204],['N/A'],N/A,N/A,10,5,1,1,0,True,False
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:25

