Research Assistant,Subject Number,Set Number,Session Number,Date and Time Run,Contingency,Condition,Number of Pecks Required,Program Name,Trial Number,Program Load Time,Bird In Box Time,Experiment Start Time,Experiment End Time,Apparatus Present,Timeout Period,Reward Time,Choice Stimulus,Initial-Link,Terminal-Link,Choice Stimulus Side Pecked,Initial-Link Side Pecked,Choice Stimulus Pecked,Choice Stimulus Reaction Time,Initial-Link Reaction Time,Terminal-Link Peck Log,Terminal Link Latency,Terminal Link Final Response,Terminal Link Duration,Inter-Trial Interval (ITI),Choice Stimulus Screen Peck Count,Initial Link Screen Peck Count,Terminal-Link Screen Peck Count,Sub-Optimal Link Chosen

,0,0,0,26_12_2014 18:22,1,Stim Pairing,1,SubOptimalChoiceWithCommitment.py,1,18:22,18:22,18:22,N/A,Yes,10,10,N/A,InitA InitB ,<__main__.TerminalLinkStim instance at 0x045C9C88>,N/A,N/A,RIGHT,N/A,[0.8159244894050062],"[0.0002463116543367505, 1.538210867671296, 0.14728941244538873, 0.11129713384434581, 0.12085866357665509, 0.1226595938205719, 0.10977553518023342]",0.0002463116543367505,0.10977553518023342,5,5,N/A,1,7,False
,0,0,0,26_12_2014 18:22,1,Stim Pairing,1,SubOptimalChoiceWithCommitment.py,2,18:22,18:22,18:22,N/A,Yes,10,10,N/A,InitB ,<__main__.TerminalLinkStim instance at 0x045C9C88>,N/A,N/A,RIGHT,N/A,[1.856272288481705],[0.00023470993619412184],0.00023470993619412184,0.00023470993619412184,5,5,N/A,1,1,False
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18:22

