ResearchAssistant,SubjectNumber,SetNumber,SessionNumber,DateStarted,Contingency,Condition,PeckstoReward,ProgramName,TrialNumber,ProgramLoadTime,BirdInBoxTime,StartTime,ExperimentEndTime,ApparatusPresent,TimeoutPeriod,RewardDuration,StimulusPresented,StimulusSide,ReactionTimes,PeckNum,ITI
Unlisted,0,0,0,05_01_2015 15:39,1,Autoshaping (FR1),1,SubOptimalChoiceWithCommitment.py,1,15:39,15:39,15:39,N/A,False,10,10,TermD ,RIGHT,[0.8580876206979156],1,5
Unlisted,0,0,0,05_01_2015 15:39,1,Autoshaping (FR1),1,SubOptimalChoiceWithCommitment.py,2,15:39,15:39,15:39,N/A,False,10,10,ChoiceC ,LEFT,[0.67580431047827],1,5
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:39

