ResearchAssistant,SubjectNumber,SetNumber,SessionNumber,DateandTimeRun,Contingency,Condition,NumberofPecksRequired,ProgramName,TrialNumber,ProgramLoadTime,BirdInBoxTime,ExperimentStartTime,ExperimentEndTime,ApparatusPresent,TimeoutPeriod,RewardTime,ChoiceStimulus,Initial-Link,Terminal-Link,Terminal-LinkColour,ChoiceStimulusSidePecked,Initial-LinkSidePecked,ChoiceStimulusPecked,ChoiceStimulusReactionTime,Initial-LinkReactionTime,Terminal-LinkPeckLog,TerminalLinkLatency,Terminal-LinkFinalResponse,Terminal-LinkDuration,Inter-TrialInterval(ITI),ChoiceStimulusScreenPeckCount,InitialLinkScreenPeckCount,Terminal-LinkScreenPeckCount,Sub-OptimalLinkChosen,BirdAte
Unlisted,0,0,0,14_01_2015 14:36,1,Experimental Phase,1,SubOptimalChoiceWithCommitment.py,1,14:36,14:36,14:36,,False,60,1,ChoiceA ChoiceC ,InitA InitB ,TermD,Purple,CENTRE,RIGHT,ChoiceC,", 0.73005857924",", 1.02965466399",", ",,,10,5,1,1,0,False,True
Unlisted,0,0,0,14_01_2015 14:36,1,Experimental Phase,1,SubOptimalChoiceWithCommitment.py,2,14:36,14:36,14:36,,False,60,1,ChoiceB ,InitB ,TermD,Purple,NO STIM PECKED,NO STIM PECKED,ChoiceB,", 0.46372437384, 0.133363884408, 0.108683643048, 0.133605733747, 0.133037253749, 0.109330657171, 0.132919452502, 0.109021429205, 0.121422235155, 0.521651322837",", 0.462096575648, 0.109123612754, 0.122054524138, 0.12035086914, 0.121177708497, 0.145102951094, 0.341111632762, 0.132715531625, 0.109070959152, 0.120612351922, 0.138576140627, 0.108891580137, 0.120943444781, 0.121632849448, 0.558743971633",", 1.19663873944, 0.157874116907, 0.159138248651, 0.145268497407, 0.145744610578, 0.12222096289, 0.145713375416, 0.171928601805, 0.119406228536, 0.121698443196",1.1966387394350022,0.1216984431957826,10,5,10,15,10,False,True
,,,,,,,,,,,,,14:36

