ResearchAssistant,SubjectNumber,SetNumber,SessionNumber,DateandTimeRun,Contingency,Condition,NumberofPecksRequired,ProgramName,TrialNumber,ProgramLoadTime,BirdInBoxTime,ExperimentStartTime,ExperimentEndTime,ApparatusPresent,TimeoutPeriod,RewardTime,ChoiceStimulus,Initial-Link,Terminal-Link,Terminal-LinkColour,ChoiceStimulusSidePecked,Initial-LinkSidePecked,ChoiceStimulusPecked,ChoiceStimulusReactionTime,Initial-LinkReactionTime,Terminal-LinkPeckLog,TerminalLinkLatency,Terminal-LinkFinalResponse,Terminal-LinkDuration,Inter-TrialInterval(ITI),ChoiceStimulusScreenPeckCount,InitialLinkScreenPeckCount,Terminal-LinkScreenPeckCount,Sub-OptimalLinkChosen,BirdAte
Unlisted,0,0,0,14_01_2015 14:42,1,Experimental Phase,1,SubOptimalChoiceWithCommitment.py,1,14:42,14:42,14:42,,False,60,1,ChoiceA ChoiceB ,InitB ,TermD,Purple,NO STIM PECKED,RIGHT,ChoiceB,"1.41044923302, 0.109019197989, 0.145911941887, 0.59529178997",0.887930018944,"3.96423886146, 0.104283947265, 0.146337632556, 0.122679673485, 0.121670331573, 0.109528777422, 0.133598148008, 0.13347053004, 0.121374043752, 0.134187154006, 0.15808383876, 0.136338364333, 0.131143956562, 0.146294349455, 0.13363161427, 0.145663399133, 0.134753849125, 0.145253326162, 0.194809251232, 0.0972417566227, 0.146978399483, 0.266989251599, 0.134016252938, 0.145793694421, 0.158495696727, 0.14575353486, 0.134335297858, 0.146010555676, 0.157768809819, 0.110308317817, 0.145572370966, 0.109388665413",3.9642388614593074,0.10938866541255265,10,5,4,1,32,False,True
Unlisted,0,0,0,14_01_2015 14:42,1,Experimental Phase,1,SubOptimalChoiceWithCommitment.py,2,14:42,14:42,14:42,,False,60,1,ChoiceB ChoiceC ,InitA InitB ,TermB,Orange,NO STIM PECKED,NO STIM PECKED,ChoiceC,"0.42196340661, 0.133399581537, 0.121149596758, 0.110149910906, 0.119963553036, 0.122158938786","0.810220056213, 0.108893811121, 0.121400370495, 0.120827874634, 0.134055966279, 0.120222804951",,,,10,5,6,6,0,True,False
,,,,,,,,,,,,,14:43

