ResearchAssistant,SubjectNumber,SetNumber,SessionNumber,DateStarted,Contingency,Condition,PeckstoReward,ProgramName,TrialNumber,ProgramLoadTime,BirdInBoxTime,StartTime,ExperimentEndTime,ApparatusPresent,TimeoutPeriod,RewardTime,StimulusPresented,StimulusSide,ReactionTimes,PeckNum,ITI
Unlisted,0,0,0,05_01_2015 16:43,1,Autoshaping (FR1),1,SubOptimalChoiceWithCommitment.py,1,16:43,16:43,16:43,N/A,False,60,1,InitB ,RIGHT,[0.667033426463604],1,5
Unlisted,0,0,0,05_01_2015 16:43,1,Autoshaping (FR1),1,SubOptimalChoiceWithCommitment.py,2,16:43,16:43,16:43,N/A,False,60,1,InitB ,LEFT,[0.6455714106559753],1,5
Unlisted,0,0,0,05_01_2015 16:43,1,Autoshaping (FR1),1,SubOptimalChoiceWithCommitment.py,3,16:43,16:43,16:43,N/A,False,60,1,TermA ,RIGHT,[0.8457949664443731],1,5
Unlisted,0,0,0,05_01_2015 16:43,1,Autoshaping (FR1),1,SubOptimalChoiceWithCommitment.py,4,16:43,16:43,16:43,N/A,False,60,1,ChoiceC ,LEFT,[0.6497596190311015],1,5
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16:43

